year,ipcc_code,ecp_all_sectCO2_usd_k
2024,Buildings - Commercial and Institutional,4.146227095357697
1989,Buildings - Residential,0.0
1990,Buildings - Residential,0.0083381300051034
1991,Buildings - Residential,0.2053056829238085
1992,Buildings - Residential,0.2788326193724059
1993,Buildings - Residential,0.2997589036355128
1994,Buildings - Residential,0.3272013229051392
1995,Buildings - Residential,0.2906378311092437
1996,Buildings - Residential,0.3371745776931789
1997,Buildings - Residential,0.3292617703857773
1998,Buildings - Residential,0.3640850641955253
1999,Buildings - Residential,0.3285819154027586
2000,Buildings - Residential,0.2456660667816637
2001,Buildings - Residential,0.2701788415551984
2002,Buildings - Residential,0.2736923621238422
2003,Buildings - Residential,0.2921261561653803
2004,Buildings - Residential,0.253393089506752
2005,Buildings - Residential,0.2971095487304698
2006,Buildings - Residential,0.2473292529229149
2007,Buildings - Residential,0.212497314999426
2008,Buildings - Residential,0.2562219779151671
2009,Buildings - Residential,0.2548771292925711
2010,Buildings - Residential,0.5070716453992157
2011,Buildings - Residential,0.4230290080233627
2012,Buildings - Residential,0.4769639697412266
2013,Buildings - Residential,0.4800239513998209
2014,Buildings - Residential,0.7776537010171425
2015,Buildings - Residential,1.1769069044306126
2016,Buildings - Residential,1.6783109536379142
2017,Buildings - Residential,1.895751678139446
2018,Buildings - Residential,2.2488644080717073
2019,Buildings - Residential,2.326044580611045
2020,Buildings - Residential,2.2717048498655767
2021,Buildings - Residential,3.5130745026123686
2022,Buildings - Residential,3.5530112525753905
2023,Buildings - Residential,3.2080116255872793
2024,Buildings - Residential,3.938493794412805
1989,"Agriculture, Forestry, Fishing",0.0
1990,"Agriculture, Forestry, Fishing",0.0
1991,"Agriculture, Forestry, Fishing",0.0
1992,"Agriculture, Forestry, Fishing",0.0
1993,"Agriculture, Forestry, Fishing",0.0
1994,"Agriculture, Forestry, Fishing",0.0
1995,"Agriculture, Forestry, Fishing",0.0
1996,"Agriculture, Forestry, Fishing",0.0
1997,"Agriculture, Forestry, Fishing",0.0
1998,"Agriculture, Forestry, Fishing",0.0
1999,"Agriculture, Forestry, Fishing",0.0
2000,"Agriculture, Forestry, Fishing",0.0
2001,"Agriculture, Forestry, Fishing",0.0
2002,"Agriculture, Forestry, Fishing",0.0
2003,"Agriculture, Forestry, Fishing",0.0
2004,"Agriculture, Forestry, Fishing",0.0
2005,"Agriculture, Forestry, Fishing",0.0
2006,"Agriculture, Forestry, Fishing",0.0
2007,"Agriculture, Forestry, Fishing",0.0
2008,"Agriculture, Forestry, Fishing",0.0
2009,"Agriculture, Forestry, Fishing",0.0
2010,"Agriculture, Forestry, Fishing",0.0
2011,"Agriculture, Forestry, Fishing",0.0
2012,"Agriculture, Forestry, Fishing",0.0
2013,"Agriculture, Forestry, Fishing",0.0
2014,"Agriculture, Forestry, Fishing",0.0
2015,"Agriculture, Forestry, Fishing",0.0
2016,"Agriculture, Forestry, Fishing",0.0
2017,"Agriculture, Forestry, Fishing",0.0
2018,"Agriculture, Forestry, Fishing",0.0
2019,"Agriculture, Forestry, Fishing",0.0
2020,"Agriculture, Forestry, Fishing",0.0
2021,"Agriculture, Forestry, Fishing",0.0
2022,"Agriculture, Forestry, Fishing",0.0
2023,"Agriculture, Forestry, Fishing",0.0
2024,"Agriculture, Forestry, Fishing",0.0
