Jurisdiction,Year,IPCC_cat_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price,tax_curr_code,ets_curr_code,tax_rate_incl_ex_clcu_USD,ets_price_USD,tax_rate_incl_ex_clcu_2019USD,ets_price_2019USD,tax_curr_x_rate,ets_curr_x_rate
Denmark,1989,2B5,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B6,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B7,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B8,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B8A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B8B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B8C,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B8D,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B8E,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B8F,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B9,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B9A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B9B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2C,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2C1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2C2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2C3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2C4,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2C5,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2C6,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2C7,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2D,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2D1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2D2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2D3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2D4,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2E,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2F,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2F1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
