jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd_k,ets_price_usd_k,ets_2_price_usd_k,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Finland,1989,5,,,,,,,,,,,,,,
Finland,1989,5A,,,,,,,,,,,,,,
Finland,1989,5A1,,,,,,,,,,,,,,
Finland,1989,5A2,,,,,,,,,,,,,,
Finland,1990,0,,,,,,,,,,,,,,
Finland,1990,1,,,,,,,,,,,,,,
Finland,1990,1A,ABFLOW001,Coal,,,,,,,,,,,,
Finland,1990,1A,ABFLOW001,Natural gas,,,,,,,,,,,,
Finland,1990,1A,ABFLOW001,Oil,,,,,,,,,,,,
Finland,1990,1A1,,Coal,,,,,,,,,,,,
Finland,1990,1A1,,Natural gas,,,,,,,,,,,,
Finland,1990,1A1,,Oil,,,,,,,,,,,,
Finland,1990,1A1A,ABFLOW002,Coal,,,,,,,,,,,,
Finland,1990,1A1A,ABFLOW002,Natural gas,,,,,,,,,,,,
Finland,1990,1A1A,ABFLOW002,Oil,,,,,,,,,,,,
Finland,1990,1A1A1,ABFLOW003,Coal,,,,,,,,,,,,
Finland,1990,1A1A1,ABFLOW003,Natural gas,,,,,,,,,,,,
Finland,1990,1A1A1,ABFLOW003,Oil,,,,,,,,,,,,
Finland,1990,1A1A2,ABFLOW004,Coal,,,,,,,,,,,,
Finland,1990,1A1A2,ABFLOW004,Natural gas,,,,,,,,,,,,
Finland,1990,1A1A2,ABFLOW004,Oil,,,,,,,,,,,,
Finland,1990,1A1A3,ABFLOW005,Coal,,,,,,,,,,,,
Finland,1990,1A1A3,ABFLOW005,Natural gas,,,,,,,,,,,,
Finland,1990,1A1A3,ABFLOW005,Oil,,,,,,,,,,,,
Finland,1990,1A1B,ABFLOW011,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A1B,ABFLOW011,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A1B,ABFLOW011,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A1C,ABFLOW011,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A1C,ABFLOW011,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A1C,ABFLOW011,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2,ABFLOW012,Coal,,,,,,,,,,,,
Finland,1990,1A2,ABFLOW012,Natural gas,,,,,,,,,,,,
Finland,1990,1A2,ABFLOW012,Oil,,,,,,,,,,,,
Finland,1990,1A2A,ABFLOW016,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2A,ABFLOW016,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2A,ABFLOW016,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2B,ABFLOW018,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2B,ABFLOW018,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2B,ABFLOW018,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2C,ABFLOW017,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2C,ABFLOW017,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2C,ABFLOW017,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2D,ABFLOW023,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2D,ABFLOW023,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2D,ABFLOW023,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2E,ABFLOW022,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2E,ABFLOW022,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2E,ABFLOW022,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2F,ABFLOW019,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2F,ABFLOW019,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2F,ABFLOW019,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2G,ABFLOW020,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2G,ABFLOW020,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2G,ABFLOW020,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2H,ABFLOW021,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2H,ABFLOW021,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2H,ABFLOW021,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2I,ABFLOW013,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2I,ABFLOW013,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2I,ABFLOW013,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2J,ABFLOW024,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2J,ABFLOW024,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2J,ABFLOW024,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2K,ABFLOW014,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2K,ABFLOW014,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2K,ABFLOW014,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2L,ABFLOW025,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2L,ABFLOW025,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2L,ABFLOW025,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2M,ABFLOW026,Coal,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2M,ABFLOW026,Natural gas,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A2M,ABFLOW026,Oil,1.2,,,EUR,,,2.2621441418490487,,,0.893409,,
Finland,1990,1A3,ABFLOW027,Coal,,,,,,,,,,,,
Finland,1990,1A3,ABFLOW027,Natural gas,,,,,,,,,,,,
Finland,1990,1A3,ABFLOW027,Oil,,,,,,,,,,,,
Finland,1990,1A3A,,Coal,,,,,,,,,,,,
Finland,1990,1A3A,,Natural gas,,,,,,,,,,,,
Finland,1990,1A3A,,Oil,,,,,,,,,,,,
Finland,1990,1A3A1,ABFLOW040,Coal,,,,,,,,,,,,
