ipcc_code,year,ecp_ets_sectCO2_usd_k,ecp_tax_sectCO2_usd_k,ecp_all_sectCO2_usd_k
1A2F,1995,0.0,0.11798162767310774,0.11798162767310774
1A2F,1996,0.0,0.12428674608225723,0.12428674608225723
1A2F,1997,0.0,0.15796359393819562,0.15796359393819562
1A2F,1998,0.0,0.18557219336454459,0.18557219336454459
1A2F,1999,0.0,0.19333703165748686,0.19333703165748686
1A2F,2000,0.0,0.21056612102442088,0.21056612102442088
1A2F,2001,0.0,0.18003155083549136,0.18003155083549136
1A2F,2002,0.0,0.1712577349518239,0.1712577349518239
1A2F,2003,0.0,0.1461449156558534,0.1461449156558534
1A2F,2004,0.0,0.12573292294542177,0.12573292294542177
1A2F,2005,3.3767081751492323,0.0886810649032096,3.465389240052442
1A2F,2006,2.6140847819726183,0.09087862785415833,2.7049634098267767
1A2F,2007,0.09974237536859974,0.08245823929065757,0.1822006146592573
1A2F,2008,2.398429547030914,0.059050253502371954,2.457479800533286
1A2F,2009,1.4181340789909538,0.046104419037237776,1.4642384980281915
1A2F,2010,1.4622019017746108,0.04494565976379571,1.5071475615384067
1A2F,2011,1.2585096725276768,0.02745908053626728,1.2859687530639439
1A2F,2012,0.6383018817752943,0.14354141524697403,0.7818432970222684
1A2F,2013,0.3642954425404487,0.1367777296308774,0.5010731721713261
1A2F,2014,0.48350085309921687,0.17912604233555335,0.6626268954347703
1A2F,2015,0.7296566068169458,0.10943633960350659,0.8390929464204523
1A2F,2016,0.6100391518198668,0.13369782680984973,0.7437369786297165
1A2F,2017,0.6637854142674805,0.14905587264083064,0.8128412869083111
1A2F,2018,1.4461556413868142,0.13105704004751614,1.5772126814343304
1A2F,2019,2.239733308179902,0.18889261785227654,2.4286259260321783
1A2F,2020,2.0603629995193726,0.16699639952932988,2.2273593990487024
1A2F,2021,4.17884114602362,0.16942268737705035,4.3482638334006705
1A2F,2022,5.602208708395305,0.1622596276015394,5.7644683359968445
1A2F,2023,5.2729138826754465,0.12599201023529968,5.398905892910746
1A2F,2024,4.068967581728694,0.14207045236302213,4.211038034091716
1A2G,1989,0.0,0.0,0.0
